deg	glk1_signal	glk2_signal	fpkm	distance
AT2G40520	0	7.31889	6.47015	94.5441	331
AT1G04650	0	6.82189	5.97631	28.3368	259
AT5G08330	1	7.2912	5.67729	99.0833	95
AT1G10470	0	73.3747	39.7627	28.9027	207
AT3G11900	0	6.1655	7.83295	42.651	412
AT1G67792	0	5.98617	7.25656	74.5395	109
AT1G67785	0	8.73051	6.96751	46.0849	188
AT2G33700	0	9.47981	6.90634	25.3163	1067
AT5G67450	0	24.2234	9.49012	36.5915	1010
AT1G10090	0	7.67259	5.70568	560.524	3
AT1G09350	0	10.449	6.46638	26.4573	180
AT5G04550	0	17.1836	12.785	80.2089	465
AT2G31010	1	5.66092	5.35682	35.9892	116
AT2G20990	0	42.7735	15.1474	77.375	769
AT4G08949	0	6.29522	6.53093	30.4092	819
AT1G67750	0	12.458	5.43256	84.4309	145
AT1G21590	0	8.79035	6.86602	125.299	239
AT3G18970	0	8.33944	6.93085	157.756	107
AT3G61130	0	13.6829	10.2154	1014.56	520
AT1G18460	0	10.9625	10.1176	35.0936	751
AT5G11970	0	7.96481	5.50276	67.2588	372
AT3G04620	0	43.6398	33.7044	127.534	125
AT1G11720	0	5.54625	5.48294	119.103	378
AT1G58200	0	25.2591	11.2802	43.232	480
AT3G25770	0	19.1814	15.3794	65.5216	244
AT3G48090	0	20.1905	5.29593	87.7661	129
AT5G59380	0	9.67267	7.99297	30.2675	117
AT4G19010	0	8.12393	5.69412	33.1206	833
AT3G28193	0	43.7681	48.6648	4030.85	281
AT4G21930	0	19.8784	5.4129	47.22	75
AT1G79790	1	17.0634	16.1168	999.958	59
AT1G66160	0	27.2994	34.8601	51.8759	167
AT1G05805	0	27.2994	34.8601	80.382	96
AT3G56940	1	5.80007	5.30964	278.219	649
AT1G05500	0	7.83957	5.51779	37.1331	99
AT2G24550	0	8.67189	5.31672	282.078	606
AT4G27530	0	16.0327	12.7054	49.9175	441
AT5G06980	1	10.762	6.36534	239.556	626
AT5G15853	0	12.7913	5.81387	26.3315	83
AT4G14746	0	8.73432	5.08186	28.8184	980
AT2G26530	0	7.19113	5.72972	36.0912	136
AT3G52500	0	6.78937	5.58418	33.99	63
AT3G59068	0	7.31385	7.34502	89.2618	100
AT5G45630	0	12.2636	5.88691	179.439	734
AT1G51823	0	6.84077	5.14855	103.182	15
AT1G62180	1	5.43956	6.36414	202.812	165
AT5G66360	0	6.93905	6.40648	65.808	85
AT5G10980	0	73.4635	27.0056	57.1234	41
AT1G76920	0	7.81733	8.27124	35.7164	30
AT3G04210	0	6.0608	6.45622	618.84	190
AT5G04230	0	12.7369	11.8845	54.1588	25
AT1G56340	0	8.57063	5.37229	446.114	186
AT5G46110	0	16.3424	9.62521	47.7495	1031
AT5G54380	0	5.83822	6.84572	35.236	827
AT4G26000	0	8.25376	5.43765	84.6736	378
AT5G52900	0	8.3569	6.74	27.2279	68
AT3G55560	0	9.09942	5.21208	36.3867	63
AT1G05870	0	6.07139	6.12783	92.6709	409
AT5G45820	0	6.89968	6.23728	25.9855	1531
AT4G28181	0	7.47591	5.70544	33.51	326
AT3G50800	0	5.93417	6.11606	769.339	531
AT2G43710	0	12.0825	6.75974	27.7416	61
AT1G69530	0	10.1142	6.65404	48.1348	91
AT2G39920	0	17.9051	9.19233	56.3237	54
AT5G58140	0	7.02832	6.06502	38.8809	596
AT1G33240	0	6.74957	5.26051	31.9203	869
AT1G64170	0	8.23071	7.42982	31.6498	993
AT1G60800	0	8.23071	7.42982	30.7093	491
AT3G59340	0	9.53505	9.72423	67.4208	1030
AT2G18690	0	21.9115	11.6368	30.3494	88
AT4G04330	0	12.4819	7.50453	196.004	61
AT5G66590	0	15.6729	12.5274	148.402	136
AT2G34600	0	5.63926	4.97669	121.369	645
AT5G54190	1	6.56639	7.36313	38.4253	135
AT1G26761	0	5.63612	4.94436	84.7407	835
AT4G23610	0	11.95	7.70833	1659.26	327
AT4G02540	0	5.53108	5.9425	145.448	19
AT5G16760	0	9.15898	5.12904	1589.75	30
AT5G16750	0	6.72855	10.8917	81.967	19
AT1G21975	0	51.2131	53.6482	59.3365	58
AT4G16370	0	5.92905	9.3572	96.0012	152
AT1G71090	0	19.2758	14.2376	68.114	1213
AT1G71080	0	15.9993	9.90133	27.1543	35
AT1G51400	0	8.21829	6.56742	36.6488	432
AT2G42360	0	5.88888	5.99331	65.081	692
AT2G46790	0	7.43755	5.45886	89.8075	140
AT5G55840	0	12.015	7.08028	76.7353	54
AT2G25110	0	39.01	29.6013	2962.47	125
AT3G12320	0	9.53091	9.20636	26.478	89
AT3G63070	0	21.7125	16.4351	27.9752	244
AT3G63060	0	7.37043	6.03089	136.635	117
AT1G27050	0	7.37043	6.03089	37.2416	398
AT1G32060	0	5.38308	5.30947	27.3782	232
AT3G60540	0	11.8811	8.27654	75.9199	303
AT1G72820	0	12.1009	18.8889	36.8145	88
AT5G41774	0	7.45856	11.1189	70.6811	143
AT2G01300	0	6.46392	6.96375	36.3859	1017
AT2G30032	0	14.0745	15.0001	411.988	272
AT5G38420	1	14.0745	15.0001	117.907	144
AT1G02670	0	18.691	21.3703	142.817	74
AT1G21270	0	8.73009	7.67877	49.4355	105
AT1G72510	0	11.9664	6.51718	52.7174	1162
AT4G22592	0	6.38619	6.69586	47.5587	714
AT1G15175	0	5.74268	5.60201	120.227	521
AT1G22767	0	5.53875	8.64358	36.1589	63
AT2G14210	0	20.6872	7.70107	54.5986	414
AT4G21280	1	6.58105	6.03565	25.7637	1043
AT3G20820	0	10.1728	5.10455	82.0086	413
AT5G13640	0	7.58488	6.95828	212.785	129
